lsms_id,country,cluster_id,year,lat,lon,asset_index,n
et_03080201503_2015,et,03080201503,2015,12.7580639926,38.9938699775,-2.145290903965917,3
et_03080300107_2011,et,03080300107,2011,12.4280735835,38.705318321,-0.7917165726547362,3
et_03080300107_2015,et,03080300107,2015,12.4280735835,38.705318321,-1.6406893598825485,3
et_03080400503_2011,et,03080400503,2011,12.3989125709,39.0897466901,-2.58439269816469,5
et_03080400503_2015,et,03080400503,2015,12.3989125709,39.0897466901,-2.5028418601472096,5
et_03090101202_2011,et,03090101202,2011,11.1913400617,36.9496969313,-1.9754538860507354,5
et_03090101202_2015,et,03090101202,2015,11.1913400617,36.9496969313,-1.558651730516121,5
et_03090202501_2011,et,03090202501,2011,10.9346269955,37.0039728964,-2.047074277749958,5
et_03090202501_2015,et,03090202501,2015,10.9346269955,37.0039728964,-1.9895806256865387,5
et_03090203201_2011,et,03090203201,2011,10.8293373184,37.064423275,-2.041499214797586,4
et_03090203201_2015,et,03090203201,2015,10.8293373184,37.064423275,-2.133550796544566,4
et_03090501102_2011,et,03090501102,2011,11.0636624461,37.0703789795,-2.124745575989401,6
et_03090501102_2015,et,03090501102,2015,11.0636624461,37.0703789795,-1.9644937015433053,6
et_03100400408_2011,et,03100400408,2011,10.5883521237,39.9074958295,-1.1802989513957765,3
et_03100400408_2015,et,03100400408,2015,10.5883521237,39.9074958295,-0.9442489902457849,3
et_03120100101_2011,et,03120100101,2011,11.003906691,39.9387898351,-2.2193689135350163,4
et_03120100101_2015,et,03120100101,2015,11.003906691,39.9387898351,-1.2432970913385075,4
et_03120100303_2011,et,03120100303,2011,10.9878391908,39.9234074653,-2.4606448526145477,9
et_03120100303_2015,et,03120100303,2015,10.9878391908,39.9234074653,-2.350412771261126,9
et_04010102202_2011,et,04010102202,2011,9.83705860887,34.9150151529,-1.7604263852582989,3
et_04010102202_2015,et,04010102202,2015,9.83705860887,34.9150151529,-0.8466125814704238,3
et_04010601302_2011,et,04010601302,2011,9.35810274536,35.5751653852,-2.0946026877175727,3
et_04010601302_2015,et,04010601302,2015,9.35810274536,35.5751653852,-1.6993345815060052,3
et_04011300501_2011,et,04011300501,2011,9.07702977605,35.6156340346,-2.304130542687432,5
et_04011300501_2015,et,04011300501,2015,9.07702977605,35.6156340346,-1.3034870510750216,5
et_04011600103_2011,et,04011600103,2011,9.38880972769,35.6143908552,0.4447851690875638,5
et_04011600103_2015,et,04011600103,2015,9.38880972769,35.6143908552,0.9206105087950985,5
et_04011802402_2011,et,04011802402,2011,8.7688653041,35.5671754136,-2.307295514766229,6
et_04011802402_2015,et,04011802402,2015,8.7688653041,35.5671754136,-2.0400268063951965,6
et_04020401105_2011,et,04020401105,2011,9.84708661386,36.3422982077,-1.491955288352312,3
et_04020401105_2015,et,04020401105,2015,9.84708661386,36.3422982077,0.6367713285893939,3
et_04021001102_2011,et,04021001102,2011,9.0308423142,36.4037942076,-2.2920883059245187,4
et_04021001102_2015,et,04021001102,2015,9.0308423142,36.4037942076,-2.328387642364309,4
et_04021400204_2011,et,04021400204,2011,8.74304517464,36.4844481911,0.013072528340646917,5
et_04021400204_2015,et,04021400204,2015,8.74304517464,36.4844481911,0.37987116505006985,5
et_04021401801_2011,et,04021401801,2011,8.6536780825,36.6077474888,-2.0606461396088163,5
et_04021401801_2015,et,04021401801,2015,8.6536780825,36.6077474888,-1.6037443620438618,5
et_04030800401_2011,et,04030800401,2011,8.18930636005,36.4699847397,-1.9065285883436618,7
et_04030800401_2015,et,04030800401,2015,8.18930636005,36.4699847397,-1.454342610320316,7
et_04031400602_2011,et,04031400602,2011,8.16979824749,35.6406321333,-1.9056446479018072,7
et_04031400602_2015,et,04031400602,2015,8.16979824749,35.6406321333,-1.1289531297307476,7
et_04040101103_2011,et,04040101103,2011,8.64302754866,37.0632145326,-1.6284703270666137,6
et_04040101103_2015,et,04040101103,2015,8.64302754866,37.0632145326,-1.3187653855368855,6
et_04040501902_2011,et,04040501902,2011,7.66912376181,36.92553529,-1.0975853023608755,8
et_04040501902_2015,et,04040501902,2015,7.66912376181,36.92553529,-0.9524753959984911,8
et_04041000701_2011,et,04041000701,2011,7.54783077574,37.0818248622,-1.6517865817805106,7
et_04041000701_2015,et,04041000701,2015,7.54783077574,37.0818248622,-1.0042050575552879,7
et_04041200104_2011,et,04041200104,2011,7.88005862562,36.0983250614,-0.4493944523747096,3
et_04041200104_2015,et,04041200104,2015,7.88005862562,36.0983250614,-0.5435836255306432,3
et_04041401702_2011,et,04041401702,2011,7.47556744642,36.4429756569,-2.0497201842149164,8
et_04041401702_2015,et,04041401702,2015,7.47556744642,36.4429756569,-1.5225731938995002,8
et_04050303104_2011,et,04050303104,2011,8.84115434604,37.9135797978,-1.9725243523248832,5
et_04050303104_2015,et,04050303104,2015,8.84115434604,37.9135797978,-2.1145632931689535,5
et_04050803103_2011,et,04050803103,2011,8.46646303095,37.4369214482,-1.2431080042045537,10
et_04050803103_2015,et,04050803103,2015,8.46646303095,37.4369214482,-0.7707618650087906,10
et_04060100102_2011,et,04060100102,2011,10.0165864149,38.2492265926,0.5951856492415967,3
et_04060100102_2015,et,04060100102,2015,10.0165864149,38.2492265926,1.90614658715536,3
et_04060102303_2011,et,04060102303,2011,9.8912342367,38.3744314394,-2.5774472563285844,3
et_04060102303_2015,et,04060102303,2015,9.8912342367,38.3744314394,-2.393620010246985,3
et_04070702702_2011,et,04070702702,2011,8.11332653211,38.7753045688,0.11164623995213091,3
et_04070702702_2015,et,04070702702,2015,8.11332653211,38.7753045688,0.4304206025996349,3
et_04071202302_2011,et,04071202302,2011,8.68349171525,38.8054367657,-2.377301902508491,4
et_04071202302_2015,et,04071202302,2015,8.68349171525,38.8054367657,-1.4423607853440477,4
et_04081202401_2011,et,04081202401,2011,7.58861044429,39.7945944298,-1.6457995522385105,5
et_04081202401_2015,et,04081202401,2015,7.58861044429,39.7945944298,-1.112283321273585,5
et_04081702801_2011,et,04081702801,2011,7.42843060501,38.9573869302,-2.211926407965531,4
et_04081702801_2015,et,04081702801,2015,7.42843060501,38.9573869302,-2.228977992345068,4
et_04090700105_2011,et,04090700105,2011,8.93900132215,40.4714489125,-2.256320867951197,6
et_04090700105_2015,et,04090700105,2015,8.93900132215,40.4714489125,-1.5082210014123965,6
et_04090900105_2011,et,04090900105,2011,8.57190296323,40.3175172324,-1.5860364079317508,3
et_04090900105_2015,et,04090900105,2015,8.57190296323,40.3175172324,-0.4979460962831174,3
et_04091001104_2011,et,04091001104,2011,8.65230864709,40.6178499401,-1.915417135279036,5
et_04091001104_2015,et,04091001104,2015,8.65230864709,40.6178499401,-0.6461766135150909,5
et_04100500403_2011,et,04100500403,2011,9.18318556596,42.0206883252,-2.285563954663091,7
et_04100500403_2015,et,04100500403,2015,9.18318556596,42.0206883252,-1.6088495502142988,7
et_04100903605_2011,et,04100903605,2011,9.37406026468,41.5884594299,-2.15649847634126,4
et_04100903605_2015,et,04100903605,2015,9.37406026468,41.5884594299,-0.9622757723058261,4
et_04101600104_2011,et,04101600104,2011,9.15085019484,41.8440556364,-0.5651962322969413,5
et_04101600104_2015,et,04101600104,2015,9.15085019484,41.8440556364,0.7864195126900547,5
et_04110801402_2011,et,04110801402,2011,7.25898773197,40.6146233206,-1.3783567626667301,9
et_04110801402_2015,et,04110801402,2015,7.25898773197,40.6146233206,-0.8733174298294328,9
et_04111200402_2011,et,04111200402,2011,6.45050353832,39.8802730059,-2.0946026877175727,3
et_04111200402_2015,et,04111200402,2015,6.45050353832,39.8802730059,-2.164434455549586,3
et_04111800102_2011,et,04111800102,2011,7.43667493729,41.0005629905,-1.8573937315448865,4
et_04111800102_2015,et,04111800102,2015,7.43667493729,41.0005629905,-1.976141181680921,4
et_04120602801_2011,et,04120602801,2011,5.59568261612,38.2936192427,-2.094371068652968,7
et_04120602801_2015,et,04120602801,2015,5.59568261612,38.2936192427,-1.6893643951162198,7
et_04121101301_2011,et,04121101301,2011,4.2353408846,38.3859126851,-2.4634517780789977,4
et_04121101301_2015,et,04121101301,2015,4.2353408846,38.3859126851,-2.334332969879223,4
et_04121600101_2011,et,04121600101,2011,3.98293116381,38.4913678893,-2.2938023989853327,9
et_04121600101_2015,et,04121600101,2015,3.98293116381,38.4913678893,-2.324751235630855,9
et_04130201103_2011,et,04130201103,2011,8.72042840438,37.9114568164,-1.8168637922267177,3
et_04130201103_2015,et,04130201103,2015,8.72042840438,37.9114568164,-1.0608318276350466,3
et_04130500102_2011,et,04130500102,2011,8.82166292432,38.3469271782,0.018311267815905436,3
et_04130500102_2015,et,04130500102,2015,8.82166292432,38.3469271782,-0.324736825075527,3
et_04130600204_2011,et,04130600204,2011,8.97089097863,38.6245563425,-1.5398717706705405,4
et_04130600204_2015,et,04130600204,2015,8.97089097863,38.6245563425,-0.39895063342055975,4
et_04130901003_2011,et,04130901003,2011,8.6361010406,38.1519350254,-1.8697308235285512,6
et_04130901003_2015,et,04130901003,2015,8.6361010406,38.1519350254,-1.3009689185853361,6
et_04140202701_2011,et,04140202701,2011,6.37589338272,38.7269447069,-2.133452718670616,3
et_04140202701_2015,et,04140202701,2015,6.37589338272,38.7269447069,-2.27881102377634,3
et_04140501906_2011,et,04140501906,2011,5.52570615347,38.7620666963,-1.4934385511343684,5
et_04140501906_2015,et,04140501906,2015,5.52570615347,38.7620666963,-1.8015101690495097,5
et_04140900501_2011,et,04140900501,2011,6.02435784991,38.3413616597,-1.704757928341407,4
et_04140900501_2015,et,04140900501,2015,6.02435784991,38.3413616597,-2.288712691870997,4
et_04170301901_2011,et,04170301901,2011,7.34918791893,38.804934007599996,-1.6704319207150962,8
et_04170301901_2015,et,04170301901,2015,7.34918791893,38.804934007599996,-1.2428427276726497,8
et_04170700204_2011,et,04170700204,2011,7.00349013971,39.1624463866,-1.2579774151265284,4
et_04170700204_2015,et,04170700204,2015,7.00349013971,39.1624463866,-1.3139326942020184,4
et_04171200807_2011,et,04171200807,2011,7.26850368689,38.6020916798,-1.7955853651881608,3
et_04171200807_2015,et,04171200807,2015,7.26850368689,38.6020916798,-1.9975346553081486,3
et_04180301004_2011,et,04180301004,2011,9.01530115929,35.046540828,-1.6019471676787203,5
et_04180301004_2015,et,04180301004,2015,9.01530115929,35.046540828,-1.551456672511433,5
et_04180701106_2011,et,04180701106,2011,8.61492078832,34.6514363264,-1.7991524800972418,6
et_04180701106_2015,et,04180701106,2015,8.61492078832,34.6514363264,-1.0238280949398588,6
et_04190100103_2011,et,04190100103,2011,9.7591387282,37.044814049,-1.795338261504516,4
et_04190100103_2015,et,04190100103,2015,9.7591387282,37.044814049,-1.5499265650142449,4
et_04190400101_2011,et,04190400101,2011,9.79007481406,37.5059416726,-2.1652681101757505,8
et_04190400101_2015,et,04190400101,2015,9.79007481406,37.5059416726,-1.5360503215969559,8
et_04190800704_2011,et,04190800704,2011,9.8440806253,37.1271346597,-2.176412875388182,5
et_04190800704_2015,et,04190800704,2015,9.8440806253,37.1271346597,-1.8194908928060696,5
et_05010200101_2011,et,05010200101,2011,10.4624101433,42.2434955736,-1.5737226735635563,4
et_05010200101_2015,et,05010200101,2015,10.4624101433,42.2434955736,-0.8584403267676597,4
et_05010202401_2011,et,05010202401,2011,9.91264985014,42.4725493546,-2.130794656179803,6
et_05010202401_2015,et,05010202401,2015,9.91264985014,42.4725493546,-1.8569009403655654,6
et_05010401102_2011,et,05010401102,2011,9.55152585441,41.358379098,-1.3054013978733034,4
et_05010401102_2015,et,05010401102,2015,9.55152585441,41.358379098,-1.028441237661152,4
et_05010401701_2011,et,05010401701,2011,9.56552604162,41.5231782329,-1.8209835209875795,3
et_05010401701_2015,et,05010401701,2015,9.56552604162,41.5231782329,-1.8819217466940277,3
et_05020201001_2011,et,05020201001,2011,9.23975778401,42.4419432943,-2.5151070805942455,3
et_05020201001_2015,et,05020201001,2015,9.23975778401,42.4419432943,-1.9880950610594494,3
et_05020408901_2011,et,05020408901,2011,9.40053953262,42.8585260119,-1.6146876376699648,3
et_05020408901_2015,et,05020408901,2015,9.40053953262,42.8585260119,-1.447253169405515,3
et_05020600901_2011,et,05020600901,2011,9.32340832355,43.2784116014,-2.2561967492230344,4
et_05020600901_2015,et,05020600901,2015,9.32340832355,43.2784116014,-2.1891794421783977,4
et_05020603803_2011,et,05020603803,2011,9.03815880629,43.2537267944,-2.3040979912136117,3
et_05020603803_2015,et,05020603803,2015,9.03815880629,43.2537267944,-1.0647398165654756,3
et_05020709201_2011,et,05020709201,2011,8.84297565884,43.8706580642,-1.2353115003871715,3
et_05020709201_2015,et,05020709201,2015,8.84297565884,43.8706580642,-0.900442563858272,3
et_05090100907_2011,et,05090100907,2011,5.22299798627,41.0432055896,-2.1391666852381634,4
et_05090100907_2015,et,05090100907,2015,5.22299798627,41.0432055896,-2.2388621527402806,4
et_05090201201_2011,et,05090201201,2011,4.28184427047,41.8750755047,-1.858928842548863,3
et_05090201201_2015,et,05090201201,2015,4.28184427047,41.8750755047,-1.1878526083657388,3
et_05090302001_2011,et,05090302001,2011,3.8642429801,39.1013658071,-2.4652170986216997,7
et_05090302001_2015,et,05090302001,2015,3.8642429801,39.1013658071,-1.2735118126651457,7
et_05090303404_2011,et,05090303404,2011,3.54993726091,39.1842340255,-2.5053159417074533,5
et_05090303404_2015,et,05090303404,2015,3.54993726091,39.1842340255,-1.380137030465909,5
et_05090400101_2011,et,05090400101,2011,4.76768886663,39.2697492018,-0.7244461630016115,3
et_05090400101_2015,et,05090400101,2015,4.76768886663,39.2697492018,-1.6245627431742085,3
et_05090400302_2011,et,05090400302,2011,4.87905466671,39.1953787271,-2.284039140257624,5
et_05090400302_2015,et,05090400302,2015,4.87905466671,39.1953787271,-1.969140531923625,5
et_06020100802_2011,et,06020100802,2011,11.3323287202,36.2720183518,-1.747609432461329,4
et_06020100802_2015,et,06020100802,2015,11.3323287202,36.2720183518,-0.9326125552224732,4
et_06030100301_2011,et,06030100301,2011,10.4822087828,34.7861778123,-1.4788697375309827,7
et_06030100301_2015,et,06030100301,2015,10.4822087828,34.7861778123,-1.2675371009245786,7
et_06030304202_2011,et,06030304202,2011,10.081237992,34.6831901825,-1.9720742901649577,4
